scenario,case_name,algorithm,feasible,plan_time_ms,path_length,turn_count,expanded_nodes,cost,start_row,start_col,goal_row,goal_col,map_rows,map_cols,path_nodes
workshop_layout,main_aisle_cross,AStar,0,37.5598,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,Dijkstra,0,25.4033,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,ImprovedAStar_P0,0,97.8754,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,ImprovedAStar_P80,0,88.4107,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,ImprovedAStar_P150,0,53.5679,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,upper_to_lower_shop,AStar,0,27.8424,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,Dijkstra,0,26.0105,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,ImprovedAStar_P0,0,89.6298,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,ImprovedAStar_P80,0,69.4049,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,ImprovedAStar_P150,0,52.7734,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,left_lane_to_right_lane,AStar,0,25.6539,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,Dijkstra,0,22.4429,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,ImprovedAStar_P0,0,47.6822,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,ImprovedAStar_P80,0,43.797,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,ImprovedAStar_P150,0,38.0952,0,0,2073,Inf,20,6,20,64,51,71,0
corridor_bottleneck,left_to_right,AStar,1,13.9833,61,1,857,60,3,3,28,38,30,40,61
corridor_bottleneck,left_to_right,Dijkstra,1,13.0995,61,1,1002,60,3,3,28,38,30,40,61
corridor_bottleneck,left_to_right,ImprovedAStar_P0,1,0.9377,61,1,181,61,3,3,28,38,30,40,61
corridor_bottleneck,left_to_right,ImprovedAStar_P80,1,0.3683,61,1,182,64.008,3,3,28,38,30,40,61
corridor_bottleneck,left_to_right,ImprovedAStar_P150,1,0.317,61,1,182,71.561875,3,3,28,38,30,40,61
corridor_bottleneck,bottom_detour,AStar,1,10.9184,57,1,738,56,28,4,4,36,30,40,57
corridor_bottleneck,bottom_detour,Dijkstra,1,14.3184,57,1,988,56,28,4,4,36,30,40,57
corridor_bottleneck,bottom_detour,ImprovedAStar_P0,1,0.4447,57,1,169,57,28,4,4,36,30,40,57
corridor_bottleneck,bottom_detour,ImprovedAStar_P80,1,0.4009,57,1,171,60.008,28,4,4,36,30,40,57
corridor_bottleneck,bottom_detour,ImprovedAStar_P150,1,0.3685,57,1,176,67.561875,28,4,4,36,30,40,57
u_shape_detour,outer_detour,AStar,1,7.2944,53,1,480,52,4,4,26,34,30,40,53
u_shape_detour,outer_detour,Dijkstra,1,11.0149,53,1,936,52,4,4,26,34,30,40,53
u_shape_detour,outer_detour,ImprovedAStar_P0,1,0.4734,55,4,168,58,4,4,26,34,30,40,55
u_shape_detour,outer_detour,ImprovedAStar_P80,1,0.4184,55,2,191,62.016,4,4,26,34,30,40,55
u_shape_detour,outer_detour,ImprovedAStar_P150,1,0.9286,55,2,290,77.12375,4,4,26,34,30,40,55
u_shape_detour,inner_escape,AStar,1,7.6773,51,10,505,50,24,8,6,32,30,40,51
u_shape_detour,inner_escape,Dijkstra,1,13.6305,51,5,951,50,24,8,6,32,30,40,51
u_shape_detour,inner_escape,ImprovedAStar_P0,1,1.1815,51,6,194,56,24,8,6,32,30,40,51
u_shape_detour,inner_escape,ImprovedAStar_P80,1,2.3904,51,4,340,66.032,24,8,6,32,30,40,51
u_shape_detour,inner_escape,ImprovedAStar_P150,1,1.9638,51,3,390,84.685625,24,8,6,32,30,40,51
dense_crossing,diagonal_transfer,AStar,1,4.2906,60,4,289,59,3,4,28,36,32,40,60
dense_crossing,diagonal_transfer,Dijkstra,1,7.1595,60,4,619,59,3,4,28,36,32,40,60
dense_crossing,diagonal_transfer,ImprovedAStar_P0,1,0.4596,60,4,175,63,3,4,28,36,32,40,60
dense_crossing,diagonal_transfer,ImprovedAStar_P80,1,0.5191,60,2,182,67.016,3,4,28,36,32,40,60
dense_crossing,diagonal_transfer,ImprovedAStar_P150,1,0.6073,60,2,230,82.12375,3,4,28,36,32,40,60
dense_crossing,reverse_transfer,AStar,1,5.7085,60,7,416,59,28,5,4,34,32,40,60
dense_crossing,reverse_transfer,Dijkstra,1,7.8789,60,5,645,59,28,5,4,34,32,40,60
dense_crossing,reverse_transfer,ImprovedAStar_P0,1,1.5737,62,6,224,67,28,5,4,34,32,40,62
dense_crossing,reverse_transfer,ImprovedAStar_P80,1,1.2623,62,3,268,73.024,28,5,4,34,32,40,62
dense_crossing,reverse_transfer,ImprovedAStar_P150,1,0.9374,62,3,276,95.685625,28,5,4,34,32,40,62
