Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.805772597,0.200338169,1.003369294,0
2,0.805772597,0.238091033,0.697408588,0.153742468
3,0.805772597,0.140439491,0.600746318,0
4,0.805772597,0.151444236,0.807964207,0.131738327
5,0.635948274,0.148220072,0.807964207,0.151462059
6,0.752159315,0.032499928,0.61633357,0.198599996
7,0.626568181,0.032499928,0.636397486,0.043660097
8,0.626568181,0.235640767,0.636397486,0.05747423
9,0.626568181,0.095268303,0.506369814,0
10,0.626568181,0.095268303,0.475220367,0.162024744
11,0.539720382,0.072594944,0.382456693,0.16642833
12,0.639036647,0.066280285,0.322942102,0.053970166
13,0.639036647,0,0.332529632,0.015582072
14,0.524525327,0,0.332529632,0.015582072
15,0.524525327,0,0.332763948,0.015582072
16,0.310124927,0,0.332763948,0.015582072
17,0.310124927,0,0.319289639,0.017837923
18,0.310124927,0,0.319289639,0.017925815
19,0.310124927,0,0.254023373,0.017925815
20,0.310124927,0,0.254023373,0.017925815
21,0.310124927,0,0.254023373,0.017925815
22,0.312938788,0,0.254023373,0.017925815
23,0.261940879,0,0.254023373,0.106479267
24,0.261940879,0.158117943,0.254023373,0.106479267
25,0.233501811,0.108783034,0.254023373,0.017750032
26,0.197577403,0.101744453,0.254023373,0.017837923
27,0.197577403,0.101744453,0.254023373,0.017837923
28,0.197577403,0.101744453,0.254023373,0.017837923
29,0.179790546,0.106926207,0.254023373,0.017837923
30,0.158592949,0.06377874,0.254023373,0.017837923
31,0.158592949,0.06377874,0.254023373,0.046423913
32,0.158592949,0.022415935,0.254023373,0.046423913
33,0.158592949,0.146640065,0.254023373,0.097773118
34,0.158592949,0.17999926,0.254023373,0
35,0.158592949,0,0.254023373,0
36,0.158592949,0.014380312,0.254023373,0
37,0.186907508,0.014380312,0.254023373,0
38,0.166654815,0.014380312,0.254023373,0
39,0.121156982,NaN,0.254023373,0
40,0.121156982,NaN,0.254023373,NaN
41,0.121156982,0.11361105,0.240908549,NaN
42,0.121156982,0.041839843,0.240908549,NaN
43,0.121156982,0.053755359,0.240908549,NaN
44,0.121156982,0.061087311,0.240908549,0
45,0.116908101,0.049414025,0.240908549,0
46,0.116908101,0.088357921,0.240908549,0
47,0.10301012,0.088638426,0.240908549,0
48,0.10301012,0.062390785,0.240908549,0
49,0.10301012,0.045486364,0.240908549,0
50,0.102822139,0.040749685,0.240908549,0
51,0.102822139,0.04104992,0.240908549,0
52,0.102822139,0.04104992,0.240908549,0
53,0.102822139,0.04104992,0.240908549,0
54,0.102822139,0.04104992,0.240908549,0
55,0.102806595,0.076019278,0.240908549,0
56,0.102806595,0.060654256,0.240908549,0.049499807
57,0.102770518,0.025341752,0.240908549,0.049822076
58,0.087562293,0.035686472,0.240908549,0.049822076
59,0.087562293,0.035686472,0.240908549,0.049822076
60,0.087508313,0.056697464,0.240908549,0.049822076
61,0.087508313,0.047189612,0.240908549,0.049822076
62,0.07843409,0.047189612,0.240908549,0.049822076
63,0.078398967,0.046099782,0.240908549,0.049822076
64,0.078398967,0.046099782,0.240908549,0.049822076
65,0.08043445,0.046099782,0.240908549,0.049822076
66,0.08043445,0.034107004,0.240908549,0.049822076
67,0.08043445,0.13012315,0.240908549,0.049822076
68,0.08043445,0.13012315,0.240908549,0.049822076
69,0.08043445,NaN,0.240908549,0.049822076
70,0.08043445,0,0.240908549,0.049822076
