Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1513,1514,394.5,399,286.166,285.287
2,1488,1514,394,399,282.691,285.287
3,1408,1499,389,381.5,277.562,284.599
4,1408,1451,385,381.5,277.562,280.247
5,1408,1439,385,381.5,277.562,279.287
6,1408,1420,385,381,277.562,278.243
7,1408,1390,385,381,277.562,274.85
8,1408,1390,372.5,373.5,277.562,274.85
9,1408,1390,372.5,373.5,277.562,274.85
10,1408,1370,372.5,361.5,277.562,273.574
11,1408,1370,372.5,361.5,277.562,273.574
12,1408,1370,372.5,358.5,277.562,273.574
13,1408,1370,371.5,358.5,277.562,273.574
14,1408,1370,367.5,358.5,277.534,273.574
15,1408,1370,366,355.5,277.534,273.574
16,1408,1370,362.5,355.5,277.334,273.574
17,1408,1370,362.5,355.5,277.334,273.574
18,1408,1370,362.5,355.5,277.334,273.574
19,1406,1370,362.5,355.5,276.596,273.574
20,1394,1370,362.5,355.5,275.699,273.574
21,1394,1354,362.5,355.5,275.699,273.17
22,1384,1354,353.5,354.5,275.056,273.17
23,1384,1354,353.5,353.5,275.056,273.17
24,1384,1354,353.5,342.5,275.056,272.506
25,1374,1354,349.5,342.5,274.011,272.506
26,1374,1354,349.5,342.5,274.011,272.496
27,1374,1354,349.5,342.5,274.011,272.496
28,1374,1346,349.5,342.5,274.011,271.851
29,1370,1346,349.5,342.5,273.715,271.851
30,1348,1346,349.5,342.5,272.175,271.841
31,1348,1346,349.5,342.5,272.137,271.841
32,1348,1346,349.5,342.5,272.137,271.841
33,1348,1346,349.5,342.5,272.137,271.841
34,1348,1346,347.5,342.5,272.137,271.841
35,1348,1346,347.5,342.5,272.137,271.841
36,1348,1346,347.5,342.5,272.137,271.841
37,1348,1346,347.5,342.5,272.137,271.841
38,1348,1346,345.5,342.5,272.137,271.841
39,1344,1346,343.5,342.5,271.437,271.841
40,1344,1346,343.5,342.5,271.437,271.841
41,1344,1346,343.5,342.5,271.437,271.841
42,1344,1346,343.5,342.5,271.437,271.841
43,1344,1346,343.5,342.5,271.437,271.841
44,1344,1346,343.5,342.5,271.437,271.841
45,1344,1346,343.5,342.5,271.437,271.796
46,1344,1346,343.5,342.5,271.437,271.796
47,1344,1346,341.5,342.5,271.437,271.796
48,1344,1346,341.5,342.5,271.437,271.796
49,1344,1346,341.5,342.5,271.437,271.796
50,1344,1346,336.5,342.5,271.437,271.785
51,1344,1346,336.5,342.5,271.437,271.785
52,1344,1346,336.5,342.5,271.437,271.785
53,1344,1346,336.5,342.5,271.437,271.785
54,1344,1346,336.5,342.5,271.437,271.785
55,1344,1346,336.5,342.5,271.437,271.785
56,1344,1346,336.5,342.5,271.437,271.785
57,1344,1346,336.5,342.5,271.437,271.785
58,1344,1346,336.5,342.5,271.437,271.785
59,1344,1346,336.5,342.5,271.437,271.785
60,1344,1346,336.5,342.5,271.437,271.785
61,1340,1346,336.5,342.5,270.801,271.785
