Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1998,1955,351,352.666666666667,212.015,212.55875
2,1998,1955,351,344.666666666667,212.015,212.55875
3,1998,1955,345.666666666667,344.666666666667,208.935,210.25
4,1998,1955,345.666666666667,344.666666666667,208.935,210.25
5,1998,1955,345.666666666667,344.666666666667,208.935,210.25
6,1998,1955,345.666666666667,344.666666666667,208.935,210.25
7,1998,1955,345.666666666667,343,208.41125,210.25
8,1978,1955,341.666666666667,343,206.7975,210.25
9,1948,1955,336.333333333333,340.666666666667,206.7975,210.25
10,1948,1896,336.333333333333,327.666666666667,206.7975,203.85375
11,1948,1896,336.333333333333,327.666666666667,206.7975,203.85375
12,1948,1896,336.333333333333,327.666666666667,206.7975,203.85375
13,1948,1896,336.333333333333,327.666666666667,206.7975,203.85375
14,1948,1896,336.333333333333,327.666666666667,204.9875,203.85375
15,1939,1896,336.333333333333,327.666666666667,204.9875,203.85375
16,1939,1896,336.333333333333,327.666666666667,204.9875,203.85375
17,1939,1896,336.333333333333,327.666666666667,204.9875,203.85375
18,1939,1896,336.333333333333,327.666666666667,204.22875,203.85375
19,1939,1896,336.333333333333,327.666666666667,204.22875,203.85375
20,1939,1896,336.333333333333,327.666666666667,204.22875,203.85375
21,1939,1896,336.333333333333,327.666666666667,204.22875,203.85375
22,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
23,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
24,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
25,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
26,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
27,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
28,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
29,1846,1896,336.333333333333,327.666666666667,197.8875,203.85375
30,1846,1896,334,327.666666666667,197.23,203.85375
31,1846,1896,334,327.666666666667,197.23,203.85375
32,1846,1896,334,327.666666666667,197.23,203.85375
33,1846,1896,328.666666666667,327.666666666667,197.23,203.85375
34,1846,1896,328.666666666667,327.666666666667,197.23,203.85375
35,1815,1896,328.666666666667,327.666666666667,196.0275,203.85375
36,1815,1896,328.666666666667,327.666666666667,196.0275,203.85375
37,1815,1896,311,327.666666666667,196.0275,203.85375
38,1815,1896,311,327.666666666667,196.0275,203.85375
39,1815,1896,311,327.666666666667,196.0275,203.85375
40,1815,1896,311,327.666666666667,196.0275,203.85375
41,1815,1896,311,327.666666666667,196.0275,203.85375
42,1815,1896,311,327.666666666667,196.0275,203.85375
43,1815,1896,311,327.666666666667,196.0275,203.85375
44,1815,1896,311,327.666666666667,196.0275,203.85375
45,1815,1896,311,327.666666666667,196.0275,203.85375
46,1815,1896,311,327.666666666667,196.0275,203.85375
47,1815,1896,311,327.666666666667,196.0275,203.85375
48,1815,1896,311,327.666666666667,196.0275,203.85375
49,1815,1896,311,327.666666666667,196.0275,203.85375
50,1815,1896,311,327.666666666667,196.0275,203.85375
51,1815,1896,311,327.666666666667,196.0275,203.85375
52,1815,1896,311,327.666666666667,196.0275,203.85375
53,1815,1896,311,327.666666666667,196.0275,203.85375
54,1815,1896,311,327.666666666667,196.0275,203.85375
55,1815,1896,311,327.666666666667,196.0275,203.85375
56,1815,1896,311,327.666666666667,196.0275,203.85375
57,1815,1896,311,327.666666666667,196.0275,203.85375
58,1815,1896,311,327.666666666667,196.0275,203.85375
59,1815,1896,311,327.666666666667,196.0275,203.85375
60,1815,1896,311,327.666666666667,196.0275,203.85375
61,1815,1896,311,327.666666666667,196.0275,203.85375
62,1815,1872,311,327.666666666667,196.0275,201.78
63,1815,1872,311,327.666666666667,196.0275,201.78
64,1815,1872,311,327.666666666667,196.0275,201.78
65,1815,1872,311,327.666666666667,196.0275,201.78
66,1815,1872,311,327.666666666667,196.0275,200.93875
67,1815,1872,311,327.666666666667,196.0275,200.93875
68,1815,1872,311,327.666666666667,196.0275,200.93875
69,1815,1872,311,327.666666666667,196.0275,200.93875
70,1815,1872,311,327.666666666667,196.0275,200.93875
71,1815,1872,311,327.666666666667,196.0275,200.93875
72,1815,1872,311,327.666666666667,196.0275,200.93875
73,1815,1872,311,327.666666666667,196.0275,200.93875
74,1815,1872,311,327.666666666667,196.0275,200.93875
75,1815,1872,311,327.666666666667,196.0275,200.93875
76,1815,1872,311,327.666666666667,196.0275,200.93875
77,1815,1872,311,327.666666666667,195.92,200.93875
78,1815,1872,311,327.666666666667,195.92,200.93875
79,1815,1872,311,327.666666666667,195.92,200.93875
80,1815,1872,311,323.666666666667,195.92,200.93875
81,1815,1872,311,323.666666666667,195.92,200.93875
82,1815,1872,311,323.666666666667,195.92,200.93875
83,1815,1872,311,323.666666666667,195.92,200.93875
84,1815,1872,311,323.666666666667,195.92,200.93875
85,1815,1872,311,323.666666666667,195.92,200.93875
86,1815,1872,311,323.666666666667,195.92,200.93875
87,1815,1872,311,323.666666666667,195.92,200.93875
88,1815,1872,311,323.666666666667,195.92,200.93875
89,1815,1872,311,323.666666666667,195.92,200.93875
90,1815,1872,311,323.666666666667,195.92,200.93875
91,1815,1872,311,323.666666666667,195.92,200.93875
92,1815,1872,311,323.666666666667,195.92,200.93875
93,1815,1872,311,323.666666666667,195.92,200.93875
94,1815,1872,311,323.666666666667,195.92,200.93875
95,1815,1872,311,323.666666666667,195.92,200.93875
96,1815,1872,311,323.666666666667,195.92,200.93875
97,1815,1872,311,323.666666666667,195.86,200.93875
98,1815,1872,311,323.666666666667,195.86,200.93875
99,1815,1872,311,323.666666666667,195.86,200.93875
100,1815,1872,311,323.666666666667,195.86,200.93875
101,1815,1872,311,323.666666666667,195.86,200.93875
102,1815,1872,311,323.666666666667,195.86,200.93875
103,1815,1872,311,323.666666666667,195.86,200.93875
104,1815,1872,311,323.666666666667,195.86,200.93875
105,1815,1872,311,323.666666666667,195.86,200.93875
106,1815,1872,311,323.666666666667,195.86,200.93875
