task_id,agv_id,time_sec,distance
1,AGV-01,26.7,70
2,AGV-03,33.5,65
3,AGV-02,25.3,66
4,AGV-04,6.0,10
5,AGV-02,24.3,63
6,AGV-03,36.7,63
7,AGV-01,22.7,61
8,AGV-01,24.0,63
9,AGV-02,22.7,62
10,AGV-01,26.3,69
11,AGV-03,18.5,35
12,AGV-01,25.7,67
13,AGV-01,15.7,40
14,AGV-04,34.5,67
15,AGV-01,23.0,60
16,AGV-05,25.0,65
17,AGV-03,32.5,63
18,AGV-05,27.0,71
19,AGV-02,25.3,66
20,AGV-04,10.0,18
21,AGV-01,26.7,70
22,AGV-05,17.0,45
23,AGV-04,20.5,39
24,AGV-01,25.3,66
25,AGV-05,28.3,79
26,AGV-03,33.5,65
27,AGV-01,22.7,59
28,AGV-05,15.3,40
29,AGV-04,34.0,65
30,AGV-02,28.3,76
31,AGV-01,26.0,68
32,AGV-02,20.7,59
33,AGV-01,15.7,40
34,AGV-05,25.0,65
35,AGV-02,22.3,61
36,AGV-02,29.0,78
37,AGV-01,17.3,49
38,AGV-05,29.7,83
39,AGV-01,22.7,61
40,AGV-02,29.0,78
